ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,13532F045A97E894B1F31E22283AE5EBD8874873.STORY,SYSSUM.TXT,0.42857,0.08400,0.14047,1
ROUGE-1,163FD5D43B73DB5A392928429F1A276D63FC40D2.STORY,SYSSUM.TXT,0.51020,0.08897,0.15152,1
ROUGE-1,0F59E018EB4945957A7C75468C04F8094D00EC92.STORY,SYSSUM.TXT,0.49180,0.11673,0.18868,1
ROUGE-1,11560905B7C25D5CBB19ABC4413E13F347C25B5B.STORY,SYSSUM.TXT,0.43750,0.17834,0.25339,1
ROUGE-1,1893009F99240EF59B6972DF4B5D7F3204DC2D18.STORY,SYSSUM.TXT,0.55932,0.15714,0.24535,1
ROUGE-1,1A5FA2350FAA5627F951266C5AC9F559ABC38FCB.STORY,SYSSUM.TXT,0.47059,0.17778,0.25806,1
ROUGE-1,144A344BF2FFF38A2E524BFB2FC9BE3D1CF9ED85.STORY,SYSSUM.TXT,0.53659,0.06832,0.12121,1
ROUGE-1,0A84DDB99D2666BEE7899A51A3D9476B1B224AB7.STORY,SYSSUM.TXT,0.55556,0.05342,0.09747,1
ROUGE-1,0A4A1A3D1FFB20C71B76AC49E34D1437CFA6FD6A.STORY,SYSSUM.TXT,0.52857,0.30833,0.38947,1
ROUGE-1,0F3C490BCC3FBC60B384A36F7BB0B7C2323F710B.STORY,SYSSUM.TXT,0.74545,0.09213,0.16400,1
ROUGE-1,141AA33615C4E79A4FD93016B915ACA8F6A3A61A.STORY,SYSSUM.TXT,0.34211,0.11927,0.17687,1
ROUGE-1,1146F2CF8DCBFE75D11BCF7FFE710CAB233DCEED.STORY,SYSSUM.TXT,0.60000,0.22689,0.32927,1
ROUGE-1,18FD7739C49AE9146B8F7D71675704FBA390FB58.STORY,SYSSUM.TXT,0.62500,0.06116,0.11142,1
ROUGE-1,07F28E0D0CAD209A69C4443622BEA4A0680D58DF.STORY,SYSSUM.TXT,0.47170,0.09921,0.16393,1
ROUGE-1,1AFBECFF6534C636A03630250852C8FC8D3E3081.STORY,SYSSUM.TXT,0.52830,0.16568,0.25225,1
ROUGE-1,0B2206B5468D92C2D53D996345183706C4FE28FE.STORY,SYSSUM.TXT,0.55172,0.04776,0.08791,1
ROUGE-1,1088D77F3E91723C97AA3D0D02B8A08536BF5B54.STORY,SYSSUM.TXT,0.51282,0.07491,0.13072,1
ROUGE-1,0A242913A0623C84CA60947D2C14FE42D213F66E.STORY,SYSSUM.TXT,0.52778,0.09948,0.16740,1
ROUGE-1,1617EC144C5CAC7A67EDA17D4795E235630EBCF6.STORY,SYSSUM.TXT,0.50000,0.06509,0.11518,1
ROUGE-1,18B2C1F6BC809FD30B87C77BCAAEFCFBF2E1379D.STORY,SYSSUM.TXT,0.56604,0.16854,0.25974,1
ROUGE-1,159DE91A73BA7CB3B040B8C6A1F4F03A2E151BA5.STORY,SYSSUM.TXT,0.52273,0.10502,0.17490,1
ROUGE-1,087DFB82BD3D473633267D4C1AAA34CECB08C4E4.STORY,SYSSUM.TXT,0.52941,0.13043,0.20930,1
ROUGE-1,0E8EB0980781D1FE3D84509B0F9325515A07FEAC.STORY,SYSSUM.TXT,0.50000,0.16875,0.25234,1
ROUGE-1,1831BA7E1177DEC5FA30B9FA03E985CA8DA1B961.STORY,SYSSUM.TXT,0.51282,0.06623,0.11730,1
ROUGE-1,0967DA2001F605517FD1FDACC10E417D572B2744.STORY,SYSSUM.TXT,0.51163,0.08907,0.15172,1
ROUGE-1,123594B08279A5E830DEE6E817E66BAFAF013FF2.STORY,SYSSUM.TXT,0.52308,0.16667,0.25279,1
ROUGE-1,1AAB585CED8C8095056764A2234E2A147B6BCA6A.STORY,SYSSUM.TXT,0.50000,0.11875,0.19192,1
ROUGE-1,1431F92037F9FA3F7C02A69238D657E53C59895C.STORY,SYSSUM.TXT,0.69697,0.07325,0.13256,1
ROUGE-1,1AAF2C296EBC0FD6DC23AC2E1A8AC7B8DBC4ED14.STORY,SYSSUM.TXT,0.32653,0.11348,0.16842,1
ROUGE-1,030EE0C7970C9CCDAD0B166B05596CBA8AE51F7D.STORY,SYSSUM.TXT,0.41176,0.16092,0.23140,1
ROUGE-1,07099E81E7D8FA45F75C62D3EB8EA039D0248D4D.STORY,SYSSUM.TXT,0.48718,0.09135,0.15385,1
ROUGE-1,1A87C8D07942461FE352A65007F2CFBE31C468AE.STORY,SYSSUM.TXT,0.43750,0.14583,0.21875,1
ROUGE-1,1409CDD5F59083F40E8D62957A989216939275FD.STORY,SYSSUM.TXT,0.16667,0.07143,0.10000,1
ROUGE-1,00237A1D4477C976EE17D82D438E2650E0BFF9A9.STORY,SYSSUM.TXT,0.62791,0.09060,0.15836,1
ROUGE-1,02BDA97709C5810C96D5D75FFD1D532D7A5C7DE3.STORY,SYSSUM.TXT,0.44000,0.10526,0.16988,1
ROUGE-1,02682F94649028300F028E904F885D2663FAFFA8.STORY,SYSSUM.TXT,0.52381,0.08271,0.14286,1
ROUGE-1,0A13A16470A0AA1C8C7224D8C207698BDF456DBE.STORY,SYSSUM.TXT,0.65116,0.17500,0.27586,1
ROUGE-1,071B234774587906E70A8887D92EF638BF050687.STORY,SYSSUM.TXT,0.42308,0.22222,0.29139,1
ROUGE-1,015AB35F3C2C108F8625DF2CCE84FA0D631F5461.STORY,SYSSUM.TXT,0.51220,0.19626,0.28378,1
ROUGE-1,0B962C5A204D270D92333633D74885B050DEB236.STORY,SYSSUM.TXT,0.58824,0.08876,0.15424,1
ROUGE-1,020AF9A92C53CD8FB2C444262ADDAF770C0D3BB9.STORY,SYSSUM.TXT,0.53191,0.08681,0.14925,1
ROUGE-1,1880747AE836C2D458BAB7E5613E344BC0F6C98D.STORY,SYSSUM.TXT,0.48148,0.03768,0.06989,1
ROUGE-1,181C7F462EC731DB38705417E32CA189DA642AE9.STORY,SYSSUM.TXT,0.78571,0.13665,0.23280,1
ROUGE-1,143DB9C3A51278C0CD58043983EFF5BE06B45666.STORY,SYSSUM.TXT,0.61404,0.33333,0.43210,1
ROUGE-1,0D4AEE13279B588594B55E84DD68E40E742754B4.STORY,SYSSUM.TXT,0.43182,0.12102,0.18905,1
ROUGE-1,009DE808CB24801B7DC1F85ED875B3D92EDBC477.STORY,SYSSUM.TXT,0.53333,0.13115,0.21053,1
ROUGE-1,0F125FF720445D2AA6A10CF24876741CD0DCAC63.STORY,SYSSUM.TXT,0.51351,0.13380,0.21229,1
ROUGE-1,0C8976351E70C6ED35DB0CFE5A89962821734CD5.STORY,SYSSUM.TXT,0.44828,0.08125,0.13757,1
